epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1017.07,1.43591,1.70798,1.10069,0.55915,0.4033,0.39468,0.22698,1.35811,1.18915,1.06865,0.000302548,0.000302548,0.000302548
2,2034.18,1.3417,1.1985,1.08158,0.56679,0.45405,0.45505,0.24436,1.33015,1.10695,1.08559,0.000593559,0.000593559,0.000593559
3,3049.36,1.29667,1.05614,1.07163,0.56425,0.51759,0.51613,0.30063,1.242,1.01775,1.05638,0.00087257,0.00087257,0.00087257
4,4099.14,1.2547,0.97716,1.05276,0.65528,0.4957,0.56144,0.33198,1.20649,0.93677,1.05682,0.000855005,0.000855005,0.000855005
5,5147.46,1.22897,0.9376,1.04543,0.62438,0.51616,0.55422,0.32865,1.19463,0.90145,1.04367,0.000837007,0.000837007,0.000837007
6,6202.4,1.2002,0.88481,1.03693,0.68367,0.54569,0.60891,0.3631,1.14454,0.82988,1.02984,0.000819009,0.000819009,0.000819009
7,7281.21,1.17733,0.85207,1.02554,0.62926,0.58255,0.61237,0.37024,1.14223,0.81653,1.03126,0.000801011,0.000801011,0.000801011
8,8336.59,1.15545,0.82326,1.01636,0.75148,0.58214,0.66658,0.41666,1.10804,0.78709,1.01728,0.000783013,0.000783013,0.000783013
9,9396.46,1.13575,0.80842,1.009,0.60331,0.6292,0.66819,0.41331,1.11148,0.76588,1.01332,0.000765014,0.000765014,0.000765014
10,10428.5,1.11978,0.78339,1.00295,0.79037,0.58083,0.68537,0.42432,1.08715,0.73345,1.00581,0.000747016,0.000747016,0.000747016
11,11467.8,1.11605,0.78218,1.00479,0.65833,0.61553,0.67554,0.4228,1.08897,0.73724,1.01089,0.000729018,0.000729018,0.000729018
12,12517.1,1.0983,0.75487,0.99658,0.69799,0.61907,0.67223,0.43219,1.05109,0.74411,1.00009,0.00071102,0.00071102,0.00071102
13,13575,1.08937,0.74193,0.99429,0.72104,0.61955,0.68085,0.432,1.05427,0.70754,0.99606,0.000693022,0.000693022,0.000693022
14,14611.8,1.07119,0.72573,0.98561,0.78766,0.61894,0.7167,0.45579,1.03539,0.68869,0.99015,0.000675023,0.000675023,0.000675023
15,15628.7,1.05872,0.71289,0.98369,0.77572,0.63749,0.71519,0.45324,1.03937,0.67734,0.98915,0.000657025,0.000657025,0.000657025
16,16644.4,1.04835,0.7044,0.97988,0.74932,0.68738,0.73976,0.47481,1.02069,0.66509,0.97839,0.000639027,0.000639027,0.000639027
17,17663.5,1.04487,0.69699,0.97791,0.75594,0.66591,0.73433,0.47825,1.01809,0.66876,0.98622,0.000621029,0.000621029,0.000621029
18,18682.3,1.03241,0.68587,0.97203,0.79394,0.6603,0.74557,0.49266,0.99462,0.6421,0.97627,0.000603031,0.000603031,0.000603031
19,19697.9,1.02429,0.67873,0.96928,0.79112,0.67295,0.75575,0.49686,0.99108,0.64379,0.97702,0.000585032,0.000585032,0.000585032
20,20714.2,1.00972,0.66308,0.96614,0.7748,0.69541,0.76099,0.50381,0.98365,0.63436,0.97315,0.000567034,0.000567034,0.000567034
21,21727.7,1.00012,0.65281,0.96251,0.82024,0.69344,0.78468,0.51918,0.9751,0.62448,0.96934,0.000549036,0.000549036,0.000549036
22,22775.3,0.9964,0.6497,0.95898,0.82246,0.68706,0.77167,0.51081,0.95623,0.61778,0.96348,0.000531038,0.000531038,0.000531038
23,25451.3,0.98287,0.64104,0.95569,0.804,0.70114,0.78182,0.51312,0.964,0.61176,0.96351,0.00051304,0.00051304,0.00051304
24,26443.3,0.97967,0.63432,0.95637,0.78729,0.73574,0.7857,0.52243,0.95053,0.59478,0.9633,0.000495041,0.000495041,0.000495041
25,27434.6,0.97438,0.62846,0.95249,0.85441,0.70211,0.7953,0.52739,0.9426,0.59426,0.95547,0.000477043,0.000477043,0.000477043
26,28426,0.96153,0.62131,0.9502,0.80704,0.72314,0.79443,0.53455,0.94066,0.59421,0.95528,0.000459045,0.000459045,0.000459045
27,29419.7,0.95445,0.61149,0.94524,0.78209,0.73427,0.79279,0.53873,0.92825,0.58441,0.9501,0.000441047,0.000441047,0.000441047
28,30437.5,0.95308,0.60995,0.94492,0.80341,0.73642,0.79863,0.54076,0.91973,0.5792,0.94902,0.000423049,0.000423049,0.000423049
29,31470.3,0.93879,0.60136,0.94132,0.79876,0.74078,0.797,0.53486,0.92165,0.57639,0.94846,0.00040505,0.00040505,0.00040505
30,32499.6,0.93807,0.59624,0.93973,0.80275,0.74259,0.80982,0.55043,0.90821,0.56711,0.94284,0.000387052,0.000387052,0.000387052
31,33539.9,0.92826,0.59216,0.93907,0.826,0.72645,0.81049,0.54479,0.90396,0.56441,0.94331,0.000369054,0.000369054,0.000369054
32,34584,0.92231,0.58514,0.93225,0.8389,0.73791,0.81021,0.54517,0.89971,0.55527,0.94046,0.000351056,0.000351056,0.000351056
33,35625.9,0.91294,0.57914,0.93097,0.83729,0.74599,0.82273,0.5556,0.89434,0.55245,0.93883,0.000333058,0.000333058,0.000333058
34,36655.8,0.91738,0.57903,0.93319,0.84893,0.74234,0.8211,0.55584,0.88955,0.5476,0.93511,0.000315059,0.000315059,0.000315059
35,37705.8,0.89799,0.56688,0.92858,0.80986,0.75307,0.82534,0.56084,0.88183,0.53998,0.93369,0.000297061,0.000297061,0.000297061
