epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1197.1,1.33096,1.53818,1.06767,0.63574,0.52483,0.57355,0.37974,1.14998,1.05616,1.00048,0.000474065,0.000474065,0.000474065
2,2317.13,1.22815,1.07007,1.0441,0.67109,0.58597,0.62142,0.42528,1.13641,0.93959,1.0421,0.000931581,0.000931581,0.000931581
3,3577.56,1.189,0.94902,1.03252,0.72049,0.58757,0.6642,0.4543,1.09807,0.91583,1.0134,0.00137023,0.00137023,0.00137023
4,4753.54,1.16064,0.86612,1.02088,0.74671,0.61101,0.68946,0.46184,1.13212,0.80074,1.02885,0.00134412,0.00134412,0.00134412
5,5901.14,1.1276,0.81296,1.01602,0.68668,0.62606,0.67301,0.47046,1.03883,0.75303,0.99845,0.00131582,0.00131582,0.00131582
6,7039.79,1.09871,0.78827,1.00423,0.78176,0.62016,0.71388,0.49517,1.02326,0.74433,1.00279,0.00128753,0.00128753,0.00128753
7,8203.86,1.07148,0.74946,0.99354,0.7998,0.69826,0.78185,0.55465,0.98401,0.68046,0.97954,0.00125923,0.00125923,0.00125923
8,9333.89,1.06242,0.73313,0.99199,0.85597,0.6518,0.77585,0.55553,0.97558,0.65719,0.97485,0.00123094,0.00123094,0.00123094
9,10494.3,1.03781,0.71601,0.98632,0.82417,0.71429,0.82086,0.59718,0.9377,0.62199,0.97208,0.00120265,0.00120265,0.00120265
10,11625.4,1.01454,0.68117,0.97633,0.88288,0.69229,0.82481,0.59662,0.94837,0.62045,0.98687,0.00117435,0.00117435,0.00117435
11,12777.9,1.0117,0.67722,0.97394,0.74759,0.69412,0.7664,0.55971,0.92443,0.6288,0.97459,0.00114606,0.00114606,0.00114606
12,13918.1,0.99676,0.66432,0.97319,0.83722,0.75054,0.82317,0.59976,0.93162,0.60801,0.96581,0.00111776,0.00111776,0.00111776
13,15087.2,0.97838,0.64596,0.96566,0.84938,0.77168,0.85509,0.62105,0.89491,0.59758,0.95703,0.00108947,0.00108947,0.00108947
14,16266.5,0.97178,0.63381,0.9595,0.89789,0.72777,0.85684,0.61712,0.91127,0.58016,0.96085,0.00106118,0.00106118,0.00106118
15,17420,0.96327,0.62797,0.9575,0.8715,0.76143,0.86816,0.6422,0.87626,0.55622,0.95138,0.00103288,0.00103288,0.00103288
16,18545.4,0.94909,0.6139,0.95187,0.8959,0.7618,0.8727,0.65377,0.87347,0.54983,0.94858,0.00100459,0.00100459,0.00100459
17,53247.3,0.93798,0.60541,0.94782,0.91943,0.77471,0.88457,0.66107,0.87408,0.55201,0.95274,0.000976293,0.000976293,0.000976293
18,62585.8,0.92694,0.59195,0.94681,0.90076,0.77275,0.87046,0.64721,0.86203,0.54968,0.94723,0.000947999,0.000947999,0.000947999
